ชื่อคนหาโจทย์,โจทย์,สมการคณิตศาสตร์,คำตอบที่ถูกต้อง,คำตอบของ ChatGPT,เนื้อหา,chatGPTตอบถูกต้อง,โจทย์ภาษาอังกฤษ ChatGPT,คำตอบของโจทย์ภาษาอังกฤษ,chatGPTตอบโจทย์ภาษาอังกฤษถูกต้อง
วีรเทพ,กระดานดำกว้าง 4 เมตร ยาว 6 เมตร วัดโดยรอบกระดานดำแผ่นนี้ยาวกี่เมตร,(2*4) + (2*6),20 เมตร,20 เมตร,พื้นที่,yes,The blackboard is 4 meters wide and 6 meters long. What is the perimeter of this blackboard?,20 meters,yes
วีรเทพ,พ่อขุดบ่อเลี้ยงปลาโดยปากบ่อเป็นรูปสี่เหลี่ยมผืนผ้ากว้าง 4 เมตร ยาว 5 เมตร บ่อเลี้ยงปลามีความยาวรอบปากบ่อกี่เมตร,(2*4) + (2*5),18 เมตร,18 เมตร,พื้นที่,yes,"Father dug a fish pond with a rectangular-shaped opening, 4 meters wide and 5 meters long. What is the perimeter of the fish pond?",18 meters,yes
วีรเทพ,ช่างไม้มีแผ่นไม้รูปสี่เหลี่ยมจัตุรัส แต่ละด้านยาว 25 เซนติเมตร แผ่นไม้แผ่นนี้มีพื้นที่กี่ตารางเซนติเมตร,25*25,625 ตารางเซนติเมตร,625 ตารางเซนติเมตร,พื้นที่,yes,A carpenter has a square-shaped wooden board with each side measuring 25 centimeters. What is the area of this wooden board in square centimeters?,625 square centimeters,yes
วีรเทพ,กระดาษสารูปสี่เหลี่ยมผืนผ้าแผ่นหนึ่ง กว้าง 30 เซนติเมตร ยาว 42 เซนติเมตร กระดาษสาแผ่นนี้มีพื้นที่กี่ตารางเซนติเมตร,30*42,1260 ตารางเซนติเมตร,1260 ตารางเซนติเมตร,พื้นที่,yes,A rectangular-shaped piece of paper has a width of 30 centimeters and a length of 42 centimeters. What is the area of this paper in square centimeters?,1260 square centimeters,yes
วีรเทพ,กรอบรูปสี่เหลี่ยมผืนผ้า กว้าง 55 เซนติเมตร ยาว 75 เซนติเมตร กรอบรูปนี้มีพื้นที่กี่ตารางเซนติเมตร,55*75,4125 ตารางเซนติเมตร,4125 ตารางเซนติเมตร,พื้นที่,yes,A rectangular picture frame has a width of 55 centimeters and a length of 75 centimeters. What is the area of this picture frame in square centimeters?,4125 square centimeters,yes
ภทรชล,ครีมซื้อหวี 545 บาท และกระจก 49 บาท ได้รับเงินทอน 56 บาท ตอนแรกครีมมีเงินอยู่เท่าไหร่ ,545 + 49 + 56 ,650 บาท,650 บาท,เงินตรา,yes,Cream bought a comb for 545 baht and a mirror for 49 baht. Received a change of 56 baht. How much money did Cream have at first?,650 baht,yes
ภทรชล,ไอติม ซื้อกระเป๋าสะพายจากชอปปี้ราคา 165 บาท บวกค่าขนส่งอีก 37 บาท ใช้โค้ดส่งฟรีช่วยลดค่าส่ง 30 บาท ไอติมจะต้องจ่ายเงินทั้งหมดเท่าไหร่,165 + 37 - 30, 172 บาท, 172 บาท,เงินตรา,yes,"Ice cream purchased a shoulder bag from Shopee for 165 baht, with an additional shipping fee of 37 baht. By using a free shipping code that reduces the shipping cost by 30 baht, how much does ice cream have to pay in total?",172 baht,yes
ภทรชล,ส้มราคากิโลละ 80 บาท ต้องการที่จะซื้อส้ม 3 กิโล ต้องมีเงินเท่าไหร่ จึงจะสามารถซื้อส้มได้ตามที่ต้องการ,80 * 3,240 บาท,240 บาท,เงินตรา,yes,"Oranges cost 80 baht per kilogram. If you want to buy 3 kilograms of oranges, you need as much as possible.",240 baht,yes
ภทรชล,มีขนมจีบอยู่ 48 ลูก แบ่งให้เด็กทั้งหมด 12 คน เด็กแต่ละคนจะได้ขนมจีบคนละกี่ลูก,48 /12,4 ลูก,4 ลูก,การแบ่งของ,yes,There are 48 dumplings divided among 12 children. How many dumplings will each child have?,4 dumplings,yes
ภทรชล,เจี๊ยบมีลูกอมอยู่ 20 เม็ด แบ่งให้เพื่อน 5 คน คนละ 2 เม็ด เจี๊ยบจะเหลือลูกอมกี่เม็ด,20 - (5*2),10 เม็ด,10 เม็ด,การแบ่งของ,yes,"Jeab has 20 candies, share with 5 friends, 2 each, how many candies will Jeab have left?",10 candies,yes
ภทรชล,"ค่าไฟราคาหน่วยละ 4 บาท เดือนนี้ต้องจ่ายค่าไฟ 1,250 บาท ใช้ไฟไปทั้งหมดกี่หน่วย",1250/4,312.5 หน่วย,312.5 หน่วย,จำนวน,yes,"The price of electricity is 4 baht per unit. This month, I have to pay electricity bills at 1,250 baht. How many units of electricity have been used in total?",312.5 unit,yes
ภทรชล,"มาร์คซื้อรถมาราคา 821,000 บาท แล้วมีคนมาขอซื้อรถต่อในราคา 830,000 บาท มาร์คจะได้กำไรจากการขายรถครั้งนี้เท่าไหร่","830,000 - 821,000","9,000 บาท","9,000 บาท",เงินตรา,yes,"Mark bought the car for 821,000 baht and someone asked to buy the car for 830,000 baht. How much profit would Mark get from selling the car this time?","9,000 baht",yes
ภทรชล,ขนมห่อละ 5 บาท เจนมีเงินอยู่ 120 บาท เจนจะสามารถซื้อขนมได้ทั้งหมดกี่ห่อ,120/5,24 ขนมห่อ,24 ขนมห่อ,เงินตรา,yes,A pack of snacks is 5 baht. Jane has 120 baht. How many packs of snacks can Jane buy?,24 bags,yes
ภทรชล,ห้องหนึ่งห้องต้องปูกระเบื้อง 450 แผ่น ถ้าตึก 1 ตึกมี 5 ชั้น ชั้นละ 12 ห้อง ตึกนี้ต้องใช้กระเบื้องกี่แผ่น,450*5*12,"27,000 แผ่น","27,000 แผ่น",พื้นที่,yes,"One room must be laid with 450 tiles. If 1 building has 5 floors, 12 rooms per floor, how many tiles does this building need?","27,000 tiles",yes
ภทรชล,ต้นเลี้ยงปลาหางนกยูงอยู่มนบ่อทั้งหมด 20 ตัว ต่อจากนั้นปลาในบ่อของต้นออกลูกตัวละ 3 ตัว ตอนนี้มีปลาอยู่ทั้งหมดกี่ตัวในบ่อ,20+(20*3),80 ตัว,80 ตัว,จำนวน,yes,"There are a total of 20 guppy fish in the pond. After the fish in the pond gave birth to 3 babies each, how many fish are there in the pond now?", 80 guppy fish,yes
ภทรชล,วินมอเตอร์ไซค์ขี่รถเป็นระยะทาง 89 เมตร ต่อการขี่ 1 รอบ ถ้าใน 1 วัน ต้องขี่รับลูกค้า 16 รอบ วินมอเตอร์ไซค์ต้องขี่รถรวมทั้งหมดวันละกี่เมตร,89*16," 1,424 เมตร"," 1,424 เมตร",ระยะทาง,yes,"A motorcyclist rides a distance of 89 meters per 1 lap. If in 1 day, you have to ride to pick up customers 16 times, how many meters in total do motorcyclists have to ride per day?","1,424 meters per day.",yes
ภทรชล,"รถแท็กซี่ขับรถ 1 รอบได้เงิน 180 บาท ต้องขับรถกี่รอบถึงจะได้เงิน 2,700 บาท","2,700/180",15 รอบ,15 รอบ,ระยะทาง,yes,"A taxi drives 1 round and gets 180 baht. How many rounds do you have to drive to get 2,700 baht?",15 rounds,yes
ชนิกานต์,แม่หมูนำผักกาดขาวมาแช่น้ำเกลือเพื่อให้ปราศจากยาฆ่าแมลงเป็นเวลา660วินาที คิดเป็นกี่นาที่ กี่วินาที,660/60,11 นาที,11 นาที,เวลา,yes,"maemoo soaked the Chinese cabbage in saltwater 
to remove pesticides for 660 seconds. 
How many minutes and seconds is that?",11 minutes,yes
ชนิกานต์,"โดโดทำขนมปังโดยนำเข้าตู้อบเวลา 8.45 น. ใช้เวลาอบ 45 นาที 
โดโดทำขนมปังเสร็จเวลาใด",,9:30 น.,9:30 น.,เวลา,yes,"Dodo baked the bread by putting it in the oven at 8:45 a.m. 
It took 45 minutes to bake. 
At what time did Dodo finish making the bread?",9 : 30 a.m.,yes
ชนิกานต์,"เจตใช้เวลาทำการบ้าน 1 ชั่วโมง 35 นาที หลังจากนั้นเล่นเกมอีก
 1 ชั่วโมง 45 นาที 
เจตใช้เวลาทำการบ้านและเล่นเกมกี่ชั่วโมงกี่นาที",,3ชั่วโมง 20 นาที,3 ชั่วโมง 20 นาที,เวลา,yes,"Jade spent 1 hour and 35 minutes doing homework, 
and then played games for an additional 1 hour and 45 minutes. 
How many hours and minutes did Jade spend on homework and gaming?",3 hours and 20 minutes ,yes
ชนิกานต์,"ออกบ้านเวลา 11.15 น. ถึงหน้าอิมแพคอารีน่าเวลา 12.10 น. 
ใช้เวลาเดินทางเท่าไร",,55 นาที,55 นาที,เวลา,yes,"What is the travel time from leaving home at 11:15 a.m. to 
arriving at Impact Arena at 12:10 p.m.?",55 minutes.,yes
ชนิกานต์,"บานหน้าต่างเป็นรูปสี่เหลี่ยมผืนผ้า ยาว 110 เซนติเมตร 
วัดความยาวโดยรอบหน้าต่างได้ 4เมตร 10 เซนติเมตร 
บานหน้าต่างกว้างเท่าใด",410=(2*X+110),95 เซนติเมตร,95 เซนติเมตร,พื้นที่,yes,"The window frame is a rectangular piece of fabric with a length 
of 110 centimeters. When measured around the window frame, 
it is 4 meters 10 centimeters. What is the width of the window frame?",95 centimeters.,yes
ชนิกานต์,"กรอบรูปเป็นรูปสี่เหลี่ยมจัตุรัส ยาวด้านละ 26 เซนติเมตร 
ถ้าแทมต้องการตกแต่งกรอบรูปโดยติดริบบิ้นทาบไปตามขอบ
ของกรอบรูป แทมต้องใช้ริบบิ้นยาวอย่างน้อยเท่าใด",4*26,104 เซนติเมตร,104 เซนติเมตร,พื้นที่,yes,"If Tam wants to decorate the frame of a square picture frame, with each side measuring 26 centimeters, by attaching ribbons along the edges of the frame, how long of a ribbon does Tam need at least",104 centimeters.,yes
ชนิกานต์,"ผ้าผืนหนึ่งมีด้านกว่าง 21 เซนติเมตร ยาว 38 เซนติเมตร 
นำผ้ามาต่อกัน 5 ผืนจะมีพื้นที่ทั้งหมดเท่าไร",(21*38)*5,"3990 
ตารางเซนติเมตร","3990 
ตารางเซนติเมตร",พื้นที่,yes,"If a piece of fabric has a width of 21 centimeters and 
a length of 38 centimeters, 
what is the total area when five pieces of fabric are joined together?",3990 square centimeters,yes
ชนิกานต์,"สมศรีขายไข่เป็ดแพงกว่าไข่ไก่ฟองละ 0.75 บาท 
ถ้าไข่เป็ดฟองละ 4.50 บาท ไข่ไก่ราคาฟองละเท่าไร",(4.50-0.75)+4.50,3.75 บาท,3.75 บาท,ทศนิยม,yes,"Somsri sells duck eggs at a higher price than chicken eggs, 
which cost 0.75 baht per egg. If a duck egg costs 4.50 baht per egg, what is the price per egg for chicken eggs?",0.75 baht.,no
ชนิกานต์,"แจมกับเจนแข่งขันขี่จักรยาน โดยตกลงว่าจะใช้เวลา 30 นาที 
ผลปรากฏว่า เจนขี่จักรยานรอบสนามกีฬาได้ 685.95 เมตร 
แจมขี่จักรยานได้มากกว่าเจน 1.27 เมตร 
เจนขี่จักรยานได้ระยะทางเท่าใด",685.95+1.27,687.22 เมตร,687.22 เมตร,ทศนิยม,yes,"Jam and Jane competed in a bicycle race, agreeing to spend 30 minutes. The result showed that Jane cycled 685.95 meters around the sports field, while Jam cycled 1.27 meters more than Jane. How far did Jim cycle?",687.22 meters.,yes
ชนิกานต์,"ป้ารวยซื้อผักคะน้า 44.75 บาท ผักบุ้ง 42.50 บาท 
ต้นหอม 37.50 บาท ป้ารวยจ่ายเงินค่าผักทั้งหมดเท่าไร",44.75+42.50+37.50, 124.75 บาท, 124.75 บาท,ทศนิยม,yes,"Aunt Ruay purchased Chinese kale for 44.75 baht, 
water spinach for 42.50 baht, and coriander for 37.50 baht. 
How much did Aunt Ruay pay in total for the vegetables?",124.75 baht,yes
ชนิกานต์,"แอชกับบ๊อบเก็บออมเงินสม่ำเสมอและนำเงินฝากธนาคาร 
สิ้นปีคิดดอกเบี้ยแอชได้รับดอกเบี้ย 480.66 บาท 
บ๊อบได้รับดอกเบี้ยน้อยกว่าแอช 127.75 บาท 
สองคนพี่น้องได้รับดอกเบี้ยรวมกันเท่าไหร่ ","(480.66-127.75)
+480.66",833.57 บาท,608.41 บาท,ทศนิยม,no,"Ash and Bob have regular savings and deposited money in the bank. 
At the end of the year, Ash received interest of 480.66 baht, 
while Bob received less interest than Ash, which was 127.75 baht. 
How much is the total interest that both of them received?",608.41 baht,no
ธรากร,ป้าแย้มขายส้มเขียวหวานได้ 67.4 กิโลกรัม ขายมะละกอได้ 27.6 กิโลกรัม ป้าแย้มขายส้มเขียวหวานได้มากกว่ามะละกอกี่กิโลกรัม,67.4-27.6=39.8,39.8 กิโลกรัม,39.8 กิโลกรัม,การลบทศนิยม,yes,Aunt Yem sold 67.4 kilograms of sweet green oranges and 27.6 kilograms of papayas. How many kilograms more did Aunt Yem sell of sweet green oranges compared to papayas?,39.8 kilograms,yes
ธรากร,แม่ทำน้ำส้มคั้นได้ 3.5 ลิตร แม่ต้องใช้น้ำส้มคั้นสำหรับเลี้ยงเพื่อน ๆ 5.85 ลิตร แม่ต้องทำน้ำส้มคั้นเพิ่มอีกอย่ํางน้อยกี่ลิตร,5.85-3.5 = 2.35,2.35 ลิตร,2.35 ลิตร,การลบทศนิยม,yes,Mother made 3.5 liters of orange juice. She needs 5.85 liters of orange juice to serve her friends. How many more liters of orange juice does she need to make?,2.35 liters,yes
ธรากร,พ่อต้องการทำรั้วรอบที่ดินแปลงหนึ่ง ซึ่งต้องใช้ลวดหนามยาว 212.4 เมตร แต่พ่อมีลวดหนามอยู่แล้ว 128.93 เมตร ต้องซื้อลวดหนามเพิ่มอีกเท่าใด,212.4-128.93 = 83.47,83.47 เมตร,83.47 เมตร,การลบทศนิยม,yes,"Father needs to build a fence around a piece of land, and it requires a length of barbed wire of 212.4 meters. However, Father already has 128.93 meters of barbed wire. How much additional barbed wire does Father need to purchase?", 83.47 meters,yes
ธรากร,"เดือนมีนาคม จินดาจ่ายค่าน้ำประปา 86.67 บาท และจ่ายค่าไฟฟ้า 265.47 บาท
เดือนมีนาคมต้องจ่ายค่าน้ำประปาและค่าไฟฟ้ารวมเป็นเงินเท่าใด",265.47+86.67 = 352.14,352.14 บาท,352.14 บาท,การบวกทศนิยม,yes,"In the month of March, Jinda paid 86.67 baht for water bill and 265.47 baht for electricity bill. What is the total amount Jinda has to pay for water and electricity in March?",352.14 baht,yes
ธรากร,สมปองมีเงินฝํากธนาคารสำหรับจ่ายค่าน้ำประปา และไฟฟ้า 500 บาท เดือนเมษายนธนาคารหักค่าน้ำประปา 78.67 บําท ค่าไฟฟ้า 278.54 บาท เดือนนี้สมปองเหลือเงินเท่าไร,500-(278.54+78.67) =142.79,142.79 บาท,142.79 บาท,การลบทศนิยม,yes,"Sompong has a bank deposit of 500 baht for paying water and electricity bills. In April, the bank deducted 78.67 baht for the water bill and 278.54 baht for the electricity bill. How much money does Sompong have left this month?",142.79 baht,yes
ธรากร,เดิมแม่มีผ้าสีขาว 8.6 เมตร ซื้อมาอีกชิ้นหนึ่งซึ่งสั้นกว่าชิ้นเดิม 4.85 เมตร ขณะนี้แม่มีผ้าสีขาวทั้งหมดกี่เมตร,8.6+(8.6-4.85) = 12.35,12.35 เมตร,13.45 เมตร,การบวกทศนิยม,no,"Initially, the mother had 8.6 meters of white fabric. She bought another piece that was shorter than the first one, measuring 4.85 meters. How many meters of white fabric does the mother have in total now?",13.45 meters,no
ธรากร,แม่ซื้อสายยางสำหรับรดน้ำต้นไม้ เส้นหนึ่งยาว 23.5 เมตร อีกเส้นหนึ่งสั้นกว่าเส้นแรก5.3 เมตร แม่ซื้อสายยางทั้งหมดกี่เมตร,23.5+(23.5-5.3)=41.7,41.7 เมตร,28.8 เมตร,การบวกทศนิยม,no,"Mother bought rubber hoses for watering plants. One hose is 23.5 meters long, and another hose is shorter than the first one by 5.3 meters. How many meters of rubber hose did the mother buy in total?",41.7 meters,yes
ธรากร,นัทกับนิดเก็บออมเงินสม่ำเสมอและนำเงินฝากธนาคาร สิ้นปีคิดดอกเบี้ยนัทได้รับดอกเบี้ย463.50 บาท นิดได้รับดอกเบี้ยน้อยกว่านัท 138.75 บาท สองคนที่น้องได้รับดอกเบี้ยรวมกันเท่าไร,463.5+(463.5-138.75) = 788.25,788.25 บาท,788.25 บาท,การบวกทศนิยม,yes,"Nath and Nid have regular savings and deposited money in the bank. At the end of the year, Nath received 463.50 baht in interest, while Nid received 138.75 baht less than Nath. What is the total interest they received together?",788.25 baht,yes
ธรากร,บานหน้าต่างเป็นรูปสี่เหลี่ยมผืนผ้า ยาว 110 เซนติเมตร วัดความยาวโดยรอบหน้าต่างได้ 4 เมตร 10 เซนติเมตร บานหน้าต่างกว้างเท่าใด,410-(110x2) = 1.9,1.9 เมตร,1.8 เมตร,เรขาคณิตสองมิติ,no,"The window frame is a rectangular fabric piece that is 110 centimeters long. When measuring the perimeter of the window frame, it measures 4 meters 10 centimeters. What is the width of the window frame?",1.8 meters,no
ธรากร,แปลงผักเป็นรูปสี่เหลี่ยมจัตุรัส มีความยาวรอบแปลงผัก 3 เมตร 40 เซนติเมตรแปลงผักนี้ยาวด้านละเท่าใด,340/4 = 85,85 เซนติเมตร,85 เซนติเมตร,เรขาคณิตสองมิติ,yes,The vegetable plot is in the shape of a square. It has a perimeter of 3 meters 40 centimeters. What is the length of each side of the vegetable plot?,85 centimeters,yes
ตะวัน,"ชายชราต้องการซื้อลาจำนวนสิบตัวราคา 21,000 บาท แต่มีเงินเพียง
17,500 บาท ชายชราต้องหาเงินเพิ่มอีกเท่าไร","21,000 - 17,500 = 3,500","3,500 บาท","3,500 บาท",เงินตรา,yes,"The elderly man wants to buy a lottery ticket priced at 21,000 baht, but he only has 17,500 baht. How much more money does the elderly man need to find?","3,500 baht.",yes
ตะวัน,"อาหารของเต่าทองหนัก 89,680 มิลลิกรัม อาหารของผึ้งน้อยหนัก
65,976 มิลลิกรัม อาหารของเต่าทองและอาหารของผึ้งน้อยหนักทั้งหมด
กี่มิลลิกรัม","89,680 + 65,976 = 155,656","155,656 มิลลิกรัม","155,656 มิลลิกรัม",ชั่งตวง,yes,"The food for the golden turtle weighs 89,680 milligrams, and the food for the little bee weighs 65,976 milligrams. What is the total weight of the food for the golden turtle and the little bee?","155,656 milligrams",yes
ตะวัน,"วันนี้ลาแกล้งล้มทำเกลือหกในลำธาร 5,760 กิโลกรัม ซึ่งน้อยกว่า
เมื่อวานอยู่ 1,470 กิโลกรัม เมื่อวานลาทำเกลือหกกี่กิโลกรัม","5,760 + 1,470 = 7,230","7,230 กิโลกรัม","7,230 กิโลกรัม",ชั่งตวง,yes,"Today, the salt harvest was 5,760 kilograms, which is less than yesterday when it was 1,470 kilograms. How many kilograms was the salt harvest yesterday?","7,230 kilograms",yes
